Duration,Run ID,Name,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,MISC_f1,MISC_number,MISC_precision,MISC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,lang,slurm_job,task,pipeline_type,eval_type,dataset,aligner,candidate_matching,candidate_selection
1.2min,f3bdb87295f24f39ab2ed3a50f34ec1f,flawless-bird-862,FINISHED,0.7954545454545454,91,0.8235294117647058,0.7692307692307693,0.5656565656565656,191,0.7924528301886793,0.4397905759162304,0.8704318936877076,325,0.9458483754512635,0.8061538461538461,0.970414201183432,86,0.9879518072289156,0.9534883720930232,0.9810273938673404,0.8006430868167204,0.9038112522686026,0.7186147186147186,0.8801418439716311,de,521693,pipeline_eval,align_src,compare_to_original,europarl,simalign,,
1.3min,28c82b7135464bff9c9c5ce6cb27dedc,invincible-cat-117,FINISHED,0.8172043010752688,94,0.8260869565217391,0.8085106382978723,0.3593220338983051,195,0.53,0.2717948717948718,0.797945205479452,322,0.8893129770992366,0.7236024844720497,0.9815950920245398,82,0.9876543209876544,0.975609756097561,0.9635003193722056,0.7198697068403909,0.8261682242990654,0.6378066378066378,0.8764497288277011,it,521706,pipeline_eval,candidates,compare_to_original,europarl,awesome,argmax,ner
3.2min,be8d11f86b8344a7953be50f05d7d396,unique-shoat-605,FINISHED,0.8042328042328043,94,0.8,0.8085106382978723,0.8118279569892473,195,0.8531073446327684,0.7743589743589744,0.8992248062015504,322,0.8978328173374613,0.9006211180124224,0.975609756097561,82,0.975609756097561,0.975609756097561,0.9918788210603158,0.8715328467153285,0.8818316100443131,0.8614718614718615,0.9837922403003756,it,521705,pipeline_eval,candidates,compare_to_original,europarl,awesome,argmax,dummy
1.2min,13f03455aa0c499ba650c7280d5c7ddf,intrigued-shrew-561,FINISHED,0.8248587570621468,94,0.8795180722891566,0.776595744680851,0.813953488372093,195,0.9395973154362416,0.717948717948718,0.892109500805153,322,0.9264214046822744,0.860248447204969,0.9753086419753086,82,0.9875,0.9634146341463414,0.9802901724609908,0.8726993865030674,0.9312602291325696,0.8210678210678211,0.9326866916979558,it,521708,pipeline_eval,align_src,compare_to_original,europarl,awesome,,
1.2min,74889df04687486c8d772704c1c79d47,inquisitive-moth-936,FINISHED,0.8241758241758241,94,0.8522727272727273,0.7978723404255319,0.7999999999999999,195,0.8875,0.7282051282051282,0.897196261682243,322,0.9,0.8944099378881988,0.9634146341463414,82,0.9634146341463414,0.9634146341463414,0.9857651245551602,0.8696947133283693,0.8984615384615384,0.8427128427128427,0.9622444722569878,it,521707,pipeline_eval,align_src,compare_to_original,europarl,simalign,,
33.8s,07f6fe9ef7c74fc68810b86dd8bc808c,casual-newt-30,FINISHED,0.8253968253968254,94,0.8210526315789474,0.8297872340425532,0.3593220338983051,195,0.53,0.2717948717948718,0.801358234295416,322,0.8838951310861424,0.7329192546583851,0.9815950920245398,82,0.9876543209876544,0.975609756097561,0.9638196915776986,0.7233009708737864,0.8232044198895028,0.645021645021645,0.8815602836879431,it,521704,pipeline_eval,candidates,compare_to_original,europarl,simalign,argmax,ner
1.1min,06dadd09b5704a67a80890c4c0c9d8da,brawny-flea-928,FINISHED,0.8512820512820513,99,0.8645833333333334,0.8383838383838383,0.4825396825396826,186,0.5891472868217055,0.4086021505376344,0.8910256410256411,328,0.9391891891891893,0.8475609756097561,0.9820359281437124,84,0.9879518072289156,0.9761904761904762,0.9753855406160058,0.797847809377402,0.859271523178808,0.7446197991391679,0.9293283270755108,es,521697,pipeline_eval,candidates,compare_to_original,europarl,simalign,argmax,ner
1.1min,cdeab44afbf6420ba9ee9f7ea7283083,classy-doe-793,FINISHED,0.8571428571428571,99,0.865979381443299,0.8484848484848485,0.4856230031948881,186,0.5984251968503937,0.4086021505376344,0.8910256410256411,328,0.9391891891891893,0.8475609756097561,0.9820359281437124,84,0.9879518072289156,0.9761904761904762,0.9752996262726062,0.7999999999999999,0.8623548922056384,0.7460545193687231,0.9287025448477262,es,521699,pipeline_eval,candidates,compare_to_original,europarl,awesome,argmax,ner
32.3s,7e483ca78f2d43ad81aa7babefad9a5d,placid-gnat-243,FINISHED,0.9025641025641026,99,0.9166666666666666,0.8888888888888888,0.8035190615835778,186,0.8838709677419355,0.7365591397849462,0.9390243902439024,328,0.9390243902439024,0.9390243902439024,0.9940119760479044,84,1.0,0.988095238095238,0.989776193135444,0.9065489330389992,0.9305135951661632,0.8837876614060258,0.9713183145598664,es,521700,pipeline_eval,align_src,compare_to_original,europarl,simalign,,
4.5min,16106f32c6ed4bb89c38a354472773bd,welcoming-moose-306,FINISHED,0.8442211055276383,99,0.84,0.8484848484848485,0.7768595041322315,186,0.7966101694915254,0.7580645161290323,0.9319213313161876,328,0.924924924924925,0.9390243902439024,0.9940119760479044,84,1.0,0.988095238095238,0.9923536234374328,0.8863309352517985,0.8888888888888888,0.8837876614060258,0.9943262411347517,es,521698,pipeline_eval,candidates,compare_to_original,europarl,awesome,argmax,dummy
27.3s,64f813e3c9944bae86e78c904d5a0adf,valuable-croc-302,FINISHED,0.8677248677248678,99,0.9111111111111112,0.8282828282828283,0.7915407854984895,186,0.903448275862069,0.7043010752688172,0.946875,328,0.971153846153846,0.923780487804878,0.9940119760479044,84,1.0,0.988095238095238,0.9856952618239616,0.9027882441597588,0.9507936507936507,0.8593974175035868,0.9455152273675428,es,521701,pipeline_eval,align_src,compare_to_original,europarl,awesome,,
