,Duration,Run ID,Name,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,slurm_job,pipeline_type,dataset,lang,task,eval_type,aligner,candidate_matching,candidate_selection
10,48.8s,f6dd9c3805f0496288fb9d2ad701a5e0,inquisitive-gnat-397,FINISHED,0.2703533026113671,411,0.3666666666666666,0.2141119221411192,0.4662576687116563,230,0.7916666666666666,0.3304347826086956,0.5865580448065174,296,0.7384615384615385,0.4864864864864865,0.9680076891390912,0.4196185286103542,0.5800376647834274,0.3287086446104589,0.8038816503800217,448176,align_tgt,masakhaner2,fon,pipeline_eval,compare_to_original,simalign,,
11,24.9s,850eb9bf8ca44d14bc2cdfb793a3601a,big-cow-490,FINISHED,0.4653937947494033,536,0.6456953642384106,0.3638059701492537,0.6462480857580398,362,0.7250859106529209,0.5828729281767956,0.65661252900232,456,0.6970443349753694,0.6206140350877193,0.9673459752930994,0.5856353591160222,0.6896896896896897,0.5088626292466765,0.8106247855295111,448188,align_src,masakhaner2,wol,pipeline_eval,compare_to_original,awesome,,
12,8.0min,6a85e5f82603492f8d516fb76b3f2b53,able-flea-639,FINISHED,0.0374531835205992,218,0.1020408163265306,0.0229357798165137,0.0772200772200772,193,0.1515151515151515,0.0518134715025906,0.0431654676258992,223,0.109090909090909,0.0269058295964125,0.958028693612912,0.0522388059701492,0.1235294117647058,0.0331230283911671,0.7759037824273171,448187,backtrans_candidates,masakhaner2,twi,pipeline_eval,compare_to_original,simalign,argmax,dummy
13,27.1s,4983affeb8a249f4a20191078ccd6f75,flawless-rook-836,FINISHED,0.4941451990632318,536,0.6635220125786163,0.3936567164179104,0.6563944530046225,362,0.7421602787456446,0.5883977900552486,0.6744186046511628,456,0.7178217821782178,0.6359649122807017,0.9691819445537284,0.60431654676259,0.707631318136769,0.5273264401772526,0.812121954519058,448188,align_src,masakhaner2,wol,pipeline_eval,compare_to_original,simalign,,
14,57.5s,7ed44f461d384dd79f11b751e24ef79f,whimsical-lynx-953,FINISHED,0.5345080763582966,411,0.674074074074074,0.4428223844282238,0.7209302325581396,230,0.775,0.6739130434782609,0.6925566343042072,296,0.6645962732919255,0.722972972972973,0.9762460524509132,0.6373626373626373,0.6957070707070707,0.5880469583778015,0.914698697068404,448176,align_src,masakhaner2,fon,pipeline_eval,compare_to_original,awesome,,
15,42.2s,9b49b30d295942b8a156c062ad9943dc,dazzling-flea-948,FINISHED,0.4409448818897638,536,0.7433628318584071,0.3134328358208955,0.5106382978723403,362,0.7128712871287128,0.3977900552486187,0.694550063371356,456,0.8228228228228228,0.6008771929824561,0.9683951005848872,0.5541371158392435,0.7700394218134035,0.4327917282127031,0.7282347923925666,448188,backtrans_candidates,masakhaner2,wol,pipeline_eval,compare_to_original,awesome,argmax,ner
16,1.3min,986d69554c5945e0bad95bbd8794fdf8,silent-toad-262,FINISHED,0.7043701799485861,218,0.8011695906432749,0.6284403669724771,0.6463700234192037,193,0.5897435897435898,0.7150259067357513,0.7222222222222222,223,0.7464114832535885,0.6995515695067265,0.9826527796937508,0.6907051282051283,0.7019543973941368,0.6798107255520505,0.9540426680393652,448187,candidates,masakhaner2,twi,pipeline_eval,compare_to_original,awesome,argmax,ner
17,34.5s,065d960372fb41be9684f1436c6405bf,clumsy-perch-881,FINISHED,0.1772525849335302,529,0.4054054054054054,0.1134215500945179,0.1633466135458167,402,0.41,0.1019900497512437,0.2451081359423275,766,0.5804878048780487,0.1553524804177545,0.9432019801546448,0.2046511627906976,0.4856512141280353,0.1296405421331762,0.6393234975592411,448190,align_tgt,masakhaner2,yor,pipeline_eval,compare_to_original,awesome,,
18,57.5s,58648e74a1234bc39e3eb5c0e7a2f1aa,popular-hen-211,FINISHED,0.5521126760563381,411,0.6555183946488294,0.4768856447688564,0.7247706422018347,230,0.7669902912621359,0.6869565217391305,0.6840390879478827,296,0.660377358490566,0.7094594594594594,0.9776740354249622,0.640909090909091,0.6852976913730255,0.6019210245464247,0.9175918385812524,448176,align_src,masakhaner2,fon,pipeline_eval,compare_to_original,simalign,,
19,36.3s,c49527ebaf4d47f0ad0777953d58e35b,victorious-crane-804,FINISHED,0.2271386430678466,529,0.5167785234899329,0.1455576559546313,0.1541501976284585,402,0.375,0.0970149253731343,0.235655737704918,766,0.5476190476190477,0.150130548302872,0.943749589293146,0.2138888888888888,0.4989200863930885,0.136122569239835,0.6354932434616752,448190,align_tgt,masakhaner2,yor,pipeline_eval,compare_to_original,simalign,,
20,27.7s,def19ea138214499adca6272dabafb93,placid-mouse-694,FINISHED,0.4495114006514657,529,0.5280612244897959,0.391304347826087,0.5365126676602087,402,0.6691449814126395,0.4477611940298507,0.5344129554655871,766,0.553072625698324,0.5169712793733682,0.958819792784702,0.509433962264151,0.5686274509803921,0.4614024749558044,0.871153986034333,448190,align_src,masakhaner2,yor,pipeline_eval,compare_to_original,awesome,,
21,1.4min,258244877823417aae0e56294307b6b1,puzzled-asp-595,FINISHED,0.4124087591240876,411,0.8248175182481752,0.2749391727493917,0.4223602484472049,230,0.7391304347826086,0.2956521739130435,0.6598360655737705,296,0.8385416666666666,0.543918918918919,0.973939310723603,0.5036818851251841,0.8123515439429929,0.3649946638207044,0.7533591205211725,448176,backtrans_candidates,masakhaner2,fon,pipeline_eval,compare_to_original,awesome,argmax,ner
22,30.3s,3e3a11ccf98240af88a451ff6d59892e,big-perch-37,FINISHED,0.6288117770767613,529,0.7085308056872038,0.5652173913043478,0.5457227138643067,402,0.6702898550724637,0.4601990049751244,0.5499008592200926,766,0.5568942436412316,0.5430809399477807,0.9645149278251156,0.5728835136855507,0.6228373702422145,0.5303476723629935,0.8790820078880169,448190,align_src,masakhaner2,yor,pipeline_eval,compare_to_original,simalign,,
23,48.1s,24cc86b81d2e4ba1a971ddd079bc9468,classy-mouse-387,FINISHED,0.1812297734627831,529,0.6292134831460674,0.10586011342155,0.1677148846960167,402,0.5333333333333333,0.099502487562189,0.1868365180467091,766,0.5,0.1148825065274151,0.9443848158938076,0.1806578301423662,0.5411764705882353,0.1084266352386564,0.610182289141047,448190,backtrans_candidates,masakhaner2,yor,pipeline_eval,compare_to_original,awesome,argmax,ner
24,29.4s,48a8ec7c841642cd87ac736040891574,selective-gnat-465,FINISHED,0.4826579043446514,1924,0.811042944785276,0.3435550935550935,0.3390191897654585,628,0.5129032258064516,0.2531847133757962,0.8232468780019213,1180,0.950110864745011,0.726271186440678,0.9337618945270522,0.5823927765237019,0.8273310310804144,0.4493569131832797,0.6553755060658937,448185,align_tgt,masakhaner2,swa,pipeline_eval,compare_to_original,awesome,,
25,1.0min,be95dca96e6a4e959e750fc67ca28cc8,able-donkey-386,FINISHED,0.4378109452736318,566,0.7394957983193278,0.3109540636042402,0.0103092783505154,95,0.0101010101010101,0.0105263157894736,0.5420054200542006,459,0.7168458781362007,0.4357298474945534,0.9605296027979016,0.4343317972350231,0.612012987012987,0.3366071428571429,0.7405151254641053,448174,align_tgt,masakhaner2,bam,pipeline_eval,compare_to_original,awesome,,
26,37.5s,399eb7892b404ec7962eea6d767b17f5,delightful-bug-636,FINISHED,0.4808704808704808,1924,0.7405405405405405,0.356029106029106,0.3371727748691099,628,0.4923547400611621,0.2563694267515923,0.8108623153882801,1180,0.926006528835691,0.7211864406779661,0.9327849313194864,0.5749618837879044,0.7816674343620451,0.4547159699892819,0.6821390254874061,448185,align_tgt,masakhaner2,swa,pipeline_eval,compare_to_original,simalign,,
27,27.8s,4b50f63081844a3691e6c043e2cc6cf2,mercurial-fish-404,FINISHED,0.7588932806324111,1924,0.9142857142857144,0.6486486486486487,0.6294754371357203,628,0.6596858638743456,0.6019108280254777,0.947956989247312,1180,0.9624454148471616,0.9338983050847458,0.9605306864143496,0.800586940572267,0.884852416477457,0.7309753483386924,0.874202689975393,448185,align_src,masakhaner2,swa,pipeline_eval,compare_to_original,awesome,,
28,27.6s,9307d0fbf99742988f53842c0b9e09b4,adventurous-mare-198,FINISHED,0.3097345132743363,337,0.6086956521739131,0.2077151335311572,0.29004329004329,373,0.7528089887640449,0.1796246648793565,0.126,888,0.5625,0.0709459459459459,0.9147435405964884,0.2089864158829676,0.6329113924050633,0.1251564455569462,0.5591381522668947,448191,align_tgt,masakhaner2,zul,pipeline_eval,compare_to_original,awesome,,
29,52.8s,3019dc3672324a8ea2e4dbb55182db7f,rebellious-lamb-709,FINISHED,0.4555420219244823,566,0.7333333333333333,0.3303886925795053,0.0101522842639593,95,0.0098039215686274,0.0105263157894736,0.5418326693227091,459,0.6938775510204082,0.4444444444444444,0.9611853609792655,0.4426877470355731,0.6021505376344086,0.35,0.7511683611173408,448174,align_tgt,masakhaner2,bam,pipeline_eval,compare_to_original,simalign,,
30,2.0min,60cb99a471674fb09bae5c05374317b7,zealous-robin-675,FINISHED,0.1316614420062695,529,0.3853211009174312,0.0793950850661625,0.1551020408163265,402,0.4318181818181818,0.0945273631840796,0.2410901467505241,766,0.6117021276595744,0.150130548302872,0.9435305456377456,0.1873198847262247,0.5064935064935064,0.1149086623453152,0.6203825606956972,448190,backtrans_candidates,masakhaner2,yor,pipeline_eval,compare_to_original,awesome,argmax,dummy
31,6.4min,3f39c68a34b84796850ac0f2980ab029,rebellious-gnat-620,FINISHED,0.322180916976456,536,0.4797047970479705,0.2425373134328358,0.4271844660194175,362,0.515625,0.3646408839779005,0.5018450184501845,456,0.5714285714285714,0.4473684210526316,0.9565137566553886,0.4164432529043789,0.5271493212669683,0.3441654357459379,0.7685304152148663,448188,backtrans_candidates,masakhaner2,wol,pipeline_eval,compare_to_original,awesome,argmax,dummy
32,33.1s,943d9f385f254ef0ac93140d11d88ca3,valuable-loon-787,FINISHED,0.7774814814814816,1924,0.9042039972432804,0.681912681912682,0.6261151662611516,628,0.6380165289256199,0.6146496815286624,0.9408233276157804,1180,0.9522569444444444,0.9296610169491526,0.962738623263448,0.8054755043227666,0.8712593516209476,0.7489281886387996,0.8964531706565693,448185,align_src,masakhaner2,swa,pipeline_eval,compare_to_original,simalign,,
33,38.7s,0bb383274f984b0d909e1e5e9a2b6a14,judicious-moth-908,FINISHED,0.3019693654266958,337,0.575,0.2047477744807121,0.3063829787234042,373,0.7422680412371134,0.1930294906166219,0.1326732673267326,888,0.5491803278688525,0.0754504504504504,0.9151268879858928,0.2147651006711409,0.6135693215339233,0.130162703379224,0.5672419446820645,448191,align_tgt,masakhaner2,zul,pipeline_eval,compare_to_original,simalign,,
34,53.5s,8bbe7a1e94f145158de0e6aff2aae39e,secretive-sheep-1,FINISHED,0.2354788069073783,529,0.6944444444444444,0.1417769376181474,0.1711899791231732,402,0.5324675324675324,0.1019900497512437,0.1945031712473572,766,0.5111111111111111,0.1201044386422976,0.9450200424944692,0.2017458777885548,0.5698630136986301,0.1225692398350029,0.6146374826237352,448190,backtrans_candidates,masakhaner2,yor,pipeline_eval,compare_to_original,simalign,argmax,ner
