,Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,slurm_job,pipeline_type,dataset,lang,task,eval_type,aligner,Unnamed: 0,candidate_matching,candidate_selection
9,,2.0min,aca0499eeee743c98075ce6feda3d3a1,exultant-shoat-466,,,,FINISHED,0.6189598525522878,5888.0,0.5859505386132605,0.6559103260869565,0.561016689634053,3875.0,0.6897590361445783,0.4727741935483871,0.8505854800936767,4129.0,0.8233960553162548,0.879631872124001,0.8827856122258806,0.6770235934664248,0.6828232537706839,0.6713216239562338,1.0060242063492066,450736.0,model_transfer,xtreme,et,pipeline_eval,compare_to_original,,9.0,,
10,,1.9min,0cd3ed768f45437e941c0d65ea4c37bf,trusting-crow-102,,,,FINISHED,0.697933227344992,562.0,0.6307471264367817,0.7811387900355872,0.5581896551724138,569.0,0.7214484679665738,0.4551845342706502,0.7280219780219781,356.0,0.7123655913978495,0.7443820224719101,0.8767579570688379,0.6609471516815375,0.6748423265592152,0.6476126429051782,1.0305368686868686,450729.0,candidates,xtreme,af,pipeline_eval,compare_to_original,simalign,10.0,argmax,dummy
11,,2.7min,93e242388b884e85ae52d613bd9ce203,intelligent-crow-466,,,,FINISHED,0.6861344985612277,4914.0,0.7202953680912956,0.6550671550671551,0.504524886877828,4154.0,0.7674532940019666,0.3757823784304285,0.7457916565015857,4519.0,0.8309323185648274,0.6764770967028103,0.8021021774438473,0.6594303504564769,0.7696916126497741,0.5768013542356665,0.7294392149517145,450763.0,candidates,xtreme,tr,pipeline_eval,compare_to_original,simalign,11.0,argmax,ner
12,,1.9min,d32551cf6f504ef49d2f322cde801414,capable-owl-767,,,,FINISHED,0.6643405443126308,4820.0,0.6394166186912301,0.6912863070539419,0.4033195020746887,4087.0,0.4638880050906777,0.3567408857352581,0.8375841664966334,4842.0,0.8276209677419355,0.8477901693515076,0.8215305857476722,0.6573550604145881,0.6680937359170798,0.646956142264892,0.9984580555555544,450745.0,model_transfer,xtreme,it,pipeline_eval,compare_to_original,,12.0,,
13,,1.9min,a0209ccded9145b7b0de4efb0e91e85d,honorable-foal-405,,,,FINISHED,0.6309911586784551,5133.0,0.6040627227369921,0.6604324956165984,0.5473592317765168,3908.0,0.6344013490725127,0.4813203684749232,0.766848232404144,4684.0,0.7672579611027998,0.7664389410760034,0.8551608279880641,0.6568325858937771,0.6684520217260108,0.6456102003642987,0.9887095382395386,450755.0,model_transfer,xtreme,nl,pipeline_eval,compare_to_original,,13.0,,
14,,2.4min,f98bbd6f105b462aac20d416b12ca72f,mysterious-duck-998,,,,FINISHED,0.6735706580366775,4914.0,0.716712580348944,0.6353276353276354,0.5047726905031548,4154.0,0.769610261470153,0.3755416466056813,0.7451793995606542,4519.0,0.8307482993197279,0.6755919451206019,0.8009665790759398,0.6542609431169382,0.7690395704911513,0.5692941782586296,0.7250432711732707,450763.0,candidates,xtreme,tr,pipeline_eval,compare_to_original,awesome,14.0,argmax,ner
15,,1.8min,ab7ce5a30d7d4ef496ea54f632bf7a25,righteous-goat-25,,,,FINISHED,0.686084142394822,562.0,0.629080118694362,0.7544483985765125,0.5519480519480519,569.0,0.7183098591549296,0.4481546572934973,0.7187928669410152,356.0,0.7024128686327078,0.7359550561797753,0.8752775721687639,0.6514364832121843,0.6711840228245364,0.632817753866846,1.0218050505050504,450729.0,candidates,xtreme,af,pipeline_eval,compare_to_original,awesome,15.0,argmax,dummy
16,,2.5min,a83094543c6240a3a8f82fde489a9cae,gaudy-pig-978,,,,FINISHED,0.6818418043862384,4914.0,0.6968345018058211,0.6674806674806675,0.483502538071066,4154.0,0.7088372093023256,0.3668753009147809,0.7222088256571014,4519.0,0.7933774834437086,0.6627572471785793,0.79645059486868,0.6440398034600934,0.7335402558314522,0.5740045631853978,0.7660862387612383,450763.0,candidates,xtreme,tr,pipeline_eval,compare_to_original,simalign,16.0,argmax,dummy
17,,4.5min,47846e6d9f1146eea819f5126d7f7d8f,youthful-newt-466,,,,FINISHED,0.7267320366500563,6436.0,0.7527472527472527,0.7024549409571162,0.3527225422783869,3670.0,0.554646405610754,0.2585831062670299,0.702215868477484,3954.0,0.8076290693850707,0.6211431461810825,0.8026071432850485,0.6387299540655974,0.7367540435025097,0.5637268847795164,0.7509171106050109,450731.0,candidates,xtreme,bg,pipeline_eval,compare_to_original,simalign,17.0,argmax,ner
18,,2.1min,ef7e3438ce70415ea22b6c7162ec2673,selective-lark-481,,,,FINISHED,0.6657534246575343,4914.0,0.6903409090909091,0.6428571428571429,0.4846459824980112,4154.0,0.7146879399343031,0.3666345690900337,0.7223361892120189,4519.0,0.7943205944798302,0.6623146713874751,0.7947339926846337,0.6379353337212201,0.7326968973747017,0.5648781923897843,0.758926009268509,450763.0,candidates,xtreme,tr,pipeline_eval,compare_to_original,awesome,18.0,argmax,dummy
